;X;Y;type;name;opening_hours;wheelchair;cuisine;phone;website;com_insee;com_nom;categorie;notation;prix;enjoyment_rate;wikipedia
1283;259232.40327392245;6255502.148556112;restaurant;Le Bouclard;;;french;;http://www.bouclard.com/;75056;Paris;restaurant;;;;
1285;259327.1806883839;6255370.948916779;restaurant;Flunch;;yes;french;;https://www.flunch.fr/;75056;Paris;restaurant;;;;
1289;262796.9535566648;6245194.359967231;restaurant;Ny Hav;;;vietnamese;;;75056;Paris;restaurant;;;;
1290;259065.17913485283;6248040.170839206;restaurant;Sushi Gozen;"Mo-Sa 12:00-14:15,19:00-23:00; Su off";limited;japanese;+33 1 40 47 55 01;https://www.sushigozen.fr/;75056;Paris;restaurant;;;;
1293;255804.17483960555;6255892.373694149;restaurant;Le Riad;;;moroccan;;;75056;Paris;restaurant;;;;
1295;259515.6000585005;6257482.69753091;restaurant;Pizzeria;;;italian;;;75056;Paris;restaurant;;;;
1298;259428.45916110757;6257230.974133009;restaurant;Edo;;;japanese;;;75056;Paris;restaurant;;;;
1307;260939.07578312137;6257467.457774235;fast_food;Occo;;;chicken;;;75056;Paris;restaurant;;;;
1316;259919.3669835568;6256283.700384244;restaurant;Crép'uscule;;;regional;;;75056;Paris;restaurant;;;;
1317;259923.41901302172;6256310.687931009;restaurant;Chiyoda;;;japanese;;;75056;Paris;restaurant;;;;
1318;259698.55364161928;6255956.538247955;restaurant;La Locanda di Pulcinella;;;italian;;;75056;Paris;restaurant;;;;
1319;259686.00793500693;6255801.596071727;restaurant;Mimura;;;japanese;;;75056;Paris;restaurant;;;;
1320;259966.19909333356;6256482.333451242;restaurant;Le Cochon Gaulois;;;regional;;;75056;Paris;restaurant;;;;
1321;260205.43581099738;6257132.088474582;restaurant;Restaurant Soleil Levant;;;chinese;;;75056;Paris;restaurant;;;;
1323;254745.68232944864;6246813.624447646;restaurant;Swades;;;indian;;;75056;Paris;restaurant;;;;
1324;254861.61044716073;6246716.0610768655;restaurant;Mad'eo ! • Crêperie bretonne;;;crepe;;;75056;Paris;restaurant;;;;
1325;258590.03415229984;6247699.035072477;restaurant;La Pachanga;;;international;;https://www.lapachanga.fr/;75056;Paris;restaurant;;;;
1328;261009.46309715;6249762.398198152;restaurant;Heureux comme Alexandre;;;french;+33 1 43 26 49 66;http://www.heureuxcommealexandre.com;75056;Paris;restaurant;;;;
1333;267751.8286196698;6249686.302968557;restaurant;Les Allobroges;;;french;+33 1 43 73 40 00;;75056;Paris;restaurant;;;;
1334;267874.3468512368;6249309.9816753315;restaurant;Shiun Hausu;Mo-Fr 11:30-14:30, Mo-Su 18:30-22:30;;japanese;;;75056;Paris;restaurant;;;;
1336;267614.9613057394;6249123.47664406;restaurant;Le Patio;19:00-23:00;no;italian;;;75056;Paris;restaurant;;;;
1337;262915.7091894431;6244755.189281878;restaurant;Bambou d'Or;;;cambodian;;;75056;Paris;restaurant;;;;
1338;262893.0111452703;6244745.02779022;restaurant;Long Hoa;;;asian;;;75056;Paris;restaurant;;;;
1339;262868.55425314297;6244733.682778157;restaurant;Pho Tai;;no;vietnamese;;;75056;Paris;restaurant;;;;
1340;262841.09173476434;6244750.979278034;restaurant;Pho 18;;no;vietnamese;+33 1 45 86 25 82;http://www.qype.fr/place/1750473-Pho-tai-tai-Paris;75056;Paris;restaurant;;;;
1341;262818.9614199946;6244740.851606671;restaurant;La Tonkinoise;;no;vietnamese;;;75056;Paris;restaurant;;;;
1342;262800.4489886757;6244734.883218358;restaurant;Hang Meas;;no;asian;;;75056;Paris;restaurant;;;;
1346;259739.41902668955;6256884.777791161;fast_food;Rapid Pizza;;;pizza;+33140250808;;75056;Paris;restaurant;;;;
1347;259736.48019213256;6256923.839733399;fast_food;Seng Long - 幓隆;;;chinese;;;75056;Paris;restaurant;;;;
1350;259165.2219612287;6256897.781486643;fast_food;Tafa Traiteur;;;vietnamese;;;75056;Paris;restaurant;;;;
1352;259181.0070650232;6257022.943077083;restaurant;Miyazaki;;;japanese;;;75056;Paris;restaurant;;;;
1355;259228.78539047163;6257231.956222397;restaurant;Gourmet Impériale;;;chinese;;;75056;Paris;restaurant;;;;
1356;259180.272356384;6257248.871883358;fast_food;O'Tacos;;;sandwich;;;75056;Paris;restaurant;;;;
1359;260368.1737745881;6257264.788552163;restaurant;Le Kashmir;;;indian;;;75056;Paris;restaurant;;;;
1360;262833.7001205756;6246548.012538341;fast_food;Snap Food;;;kebab;;;75056;Paris;restaurant;;;;
1363;254782.23965022515;6246873.931991684;restaurant;La petite auberge;;;french;;;75056;Paris;restaurant;;;;
1364;254696.5125103653;6246791.639190627;restaurant;La Roma;;;pizza;;;75056;Paris;restaurant;;;;
1365;254686.41583255032;6246764.935635954;restaurant;La Table marocaine;;;couscous;;;75056;Paris;restaurant;;;;
1366;254565.92361571573;6246668.032373063;restaurant;Trattoria Victoria;;;italian;;;75056;Paris;restaurant;;;;
1367;262602.47840624896;6244744.38530031;restaurant;Dong Khanh;;;vietnamese;;;75056;Paris;restaurant;;;;
1368;254836.36318664884;6246980.1899905335;restaurant;Amo;;;korean;;;75056;Paris;restaurant;;;;
1370;254519.8373465273;6246692.435655805;restaurant;Les Salons;;;brasserie;;;75056;Paris;restaurant;;;;
1374;262518.98878815403;6244716.994986232;restaurant;Arashi Yama;;no;japanese;;;75056;Paris;restaurant;;;;
1375;263640.7107690815;6252586.085603423;restaurant;Casa Nostra;;;italian;+33 1 43 57 19 04;;75056;Paris;restaurant;;;;
1377;259936.510185139;6255381.698746238;restaurant;Padam Padam;Tu-Su 19:00-01:30;;fine_dining;+33982280589;;75056;Paris;restaurant;;;;
1378;262022.20329659083;6244959.334708908;restaurant;La Fine Gueule;Mo-Sa 11:00-15:00,17:00-21:00+;;french;;;75056;Paris;restaurant;;;;
1379;260673.27823495428;6255317.758622907;restaurant;Il Piccolo Rifugio;;;italian;;;75056;Paris;restaurant;;;;
1380;260617.21773939073;6255264.958021991;restaurant;La P'tite Sœur;Tu-Su;;algerian;;;75056;Paris;restaurant;;;;
1381;260619.45526115573;6255303.1152683925;restaurant;La Vache et Le Cuisinier;;;french;;;75056;Paris;restaurant;;;;
1385;259942.4991737437;6253179.06450903;restaurant;Autour du Yangtse (食尚煮意);Mo-Sa 12:00-15:00,18:00-22:00;;chinese;+33 1 53 34 05 78;http://autourduyangtse.com;75056;Paris;restaurant;;;;
1387;262357.54213065654;6246036.480246403;restaurant;Autour du Yangtse;Mo-We,Fr-Su 12:00-15:00,18:00-22:00;;chinese;+33 1 45 84 00 81;http://autourduyangtse.com;75056;Paris;restaurant;;;;
1388;259998.48174566362;6252199.245012753;restaurant;Kadoya;;;japanese;;;75056;Paris;restaurant;;;;
1389;260041.76276368406;6252332.933931232;restaurant;Dosanko Larmen;;;japanese;+33 1 42 61 11 59;;75056;Paris;restaurant;;;;
1391;261138.59370647016;6249543.182178867;fast_food;Délice Gourmand Sandwich;;;"kebab;crepe;coffee";;;75056;Paris;restaurant;;;;
1393;261189.3999220682;6249191.852887135;restaurant;Le Coupe-Chou;Mo-Su 12:00-14:00, 19:00-22:30;;french;+33 1 46 33 68 69;https://www.lecoupechou.com/;75056;Paris;restaurant;;;;
1394;261348.36415492097;6249461.65854533;restaurant;L'Atelier Boulanger;;;"bread;coffee;pizza;salade;breakfast";;;75056;Paris;restaurant;;;;
1395;261042.56951371187;6249576.661399858;restaurant;La Sirena;"Mo-Su 12:00-15:00; 18:00-24:00";;italian;;;75056;Paris;restaurant;;;;
1396;260850.40980870454;6248832.114099979;restaurant;Restaurant Perraudin;;;french;;http://www.restaurant-perraudin.com/;75056;Paris;restaurant;;;;
1398;260827.66723673546;6248839.624713205;fast_food;Royal Saint-Jacques;;;asian;;;75056;Paris;restaurant;;;;
1401;257409.4018968446;6246207.308879401;restaurant;Yoki Sushi;;;japanese;;;75056;Paris;restaurant;;;;
1402;257570.62591536046;6246262.099231807;restaurant;Pizza au Carré;;;pizza;;;75056;Paris;restaurant;;;;
1403;257749.79463579223;6253986.8911927035;fast_food;Sur Le Pouce;;;sandwich;;;75056;Paris;restaurant;;;;
1405;254744.2240441192;6254217.4784199335;restaurant;La Maison;;;french;;;75056;Paris;restaurant;;;;
1406;255127.11856465178;6249481.688350616;restaurant;Feyrouz;;;lebanese;;;75056;Paris;restaurant;;;;
1408;255147.51229536516;6249467.291923284;restaurant;Pasta del Nonno;;;italian;+33 1 45 77 66 47;https://www.pastadelnonno.fr;75056;Paris;restaurant;;;;
1414;261669.01994815096;6247664.227108229;restaurant;Mavrommatis;Mo-Su 09:30-22:00;;greek;;http://www.mavrommatisenligne.fr/;75056;Paris;restaurant;;;;
1415;261986.436344199;6249387.714463146;restaurant;Les Pâtes Vivantes;;;chinese;;https://www.lespatesvivantes.net/;75056;Paris;restaurant;;;;
1418;267154.9223780871;6250648.286301449;restaurant;À Table;;;iranian;;;75056;Paris;restaurant;;;;
1420;267106.9882053515;6250727.401857855;restaurant;Nakano;Mo-Su 11:45-15:00,18:45-23:00;yes;japanese;+33 1 44 62 29 51;;75056;Paris;restaurant;;;;
1421;267443.4958940705;6250974.194353336;restaurant;Chez Huang Pyrénées;Mo-Su 12:00-14:30,19:00-23:00;;"thai;chinese";;;75056;Paris;restaurant;;;;
1424;267935.87313379825;6250817.296029197;fast_food;Pizza M;;;"pizza;tacos;sandwich";;;75056;Paris;restaurant;;;;
1426;268054.32820395136;6250648.996916946;restaurant;Mandarin Saint-Blaise;;;chinese;;;75056;Paris;restaurant;;;;
1427;268056.38761453104;6250627.763075322;fast_food;Kil Bill;;;sandwich;;;75056;Paris;restaurant;;;;
1429;260273.46315182117;6249692.021083442;restaurant;Marco Polo;;;italian;;;75056;Paris;restaurant;;;;
1431;265998.35739654134;6254421.479637422;restaurant;La Pelouse;;;french;;;75056;Paris;restaurant;;;;
1433;261196.7581404096;6252099.724290747;restaurant;Silk and Spice;;;"asian;thai";;;75056;Paris;restaurant;;;;
1434;261572.12746336454;6247280.6047818195;restaurant;Yoyo Ramen;;;japanese;;;75056;Paris;restaurant;;;;
1435;264048.852550126;6249729.375017665;restaurant;Pizza Julia;Tu-Su 06:30-15:00, 18:30-23:00;no;pizza;+33 1 77196875;;75056;Paris;restaurant;;;;
1438;265449.35193184705;6257417.403833092;restaurant;Vérona;Mo-Su 12:00-15:30,19:00-22:30;;pizza;;;75056;Paris;restaurant;;;;
1441;261377.77476438857;6253053.0289000515;restaurant;Gradelle;;;french;;http://www.lesdeuxcanards.com;75056;Paris;restaurant;;;;
1442;253301.50117954027;6249956.361229664;restaurant;Sushi Gourmet;Tu-Sa 12:00-14:30,19:00-22:30;;japanese;+33 1 45 27 09 02;http://sushimarche.fr/fr/;75056;Paris;restaurant;;;;
1446;257031.26071856893;6249903.661719708;restaurant;Palace Thaï;;no;asian;;;75056;Paris;restaurant;;;;
1447;255818.94693603387;6253248.793622981;restaurant;Chez Clément;Mo-Su 08:00-01:00;no;french;+33 1 40 73 87 00;http://www.chezclement.fr/restaurant-terrasse-champs-elysees;75056;Paris;restaurant;;;;
1450;256197.19943380033;6252528.698930308;restaurant;Asian;;;asian;;;75056;Paris;restaurant;;;;
1452;262925.2047420077;6253570.841262607;restaurant;Les Enfants Perdus;;;french;;;75056;Paris;restaurant;;;;
1453;262982.8459743405;6253546.824358926;restaurant;Mme Shawn;;;thai;;;75056;Paris;restaurant;;;;
1454;262742.78549244476;6252717.3436377635;fast_food;Le Petit Marcel;"Mo-Fr 12:00-15-00; Tu-Fr 19:00-22:30";no;burger;;;75056;Paris;restaurant;;;;
1455;263096.3695910514;6253304.949671516;restaurant;Lulu la Nantaise;;;"french;crepe";;;75056;Paris;restaurant;;;;
1457;255862.25021795247;6253347.430835687;restaurant;Pizza Vesuvio;;yes;pizza;+33 1 43 59 68 69;;75056;Paris;restaurant;;;;
1459;266535.85242588754;6247122.42186629;fast_food;Restaurant Kiraz;;;kebab;;;75056;Paris;restaurant;;;;
1462;261803.46049718207;6251441.641012748;restaurant;C'Roll Sushi;;yes;japanese;;;75056;Paris;restaurant;;;;
1466;252902.5209925881;6250326.738913696;fast_food;Cosy;;;sandwich;;;75056;Paris;restaurant;;;;
1467;253359.26486331294;6250154.727493548;restaurant;Pop's;;limited;pizza;;;75056;Paris;restaurant;;;;
1468;254856.75691736222;6252096.610585276;restaurant;Chez Zhong;;no;chinese;+33147279230;;75056;Paris;restaurant;;;;
1469;255110.96610653767;6252598.321149056;fast_food;Class'croute;;no;sandwich;;;75056;Paris;restaurant;;;;
1477;254827.3685717928;6252035.182825543;restaurant;Mandarin de Ming;;no;chinese;;;75056;Paris;restaurant;;;;
1482;254860.4638564056;6252104.394851105;fast_food;Speed Rabbit Pizza;;limited;pizza;3678;;75056;Paris;restaurant;;;;
1487;258973.27376325388;6245778.214591311;restaurant;L'Éphémère;;yes;french;+33145407195;;75056;Paris;restaurant;;;;
1490;265494.4251936693;6252059.686187034;restaurant;Popine;"Mo-Th 09:00-15:00,19:00-23:00; Fr 09:00-15:00,19:00-00:00; Sa 12:00-00:00; Su 12:00-23:00";;pizza;+33 9 86 25 05 71;https://popine.gennaronasti-lesas.com/;75056;Paris;restaurant;;;;
1492;262500.8993709001;6252982.675207171;restaurant;Chez Sam;;;pizza;;;75056;Paris;restaurant;;;;
1493;262991.1504083537;6252625.398491319;restaurant;Siam Square;;yes;thai;+33 9 86 79 68 96;;75056;Paris;restaurant;;;;
1494;262417.8772946665;6252697.018478949;restaurant;Zerda;;;couscous;;www.zerdacafe.fr;75056;Paris;restaurant;;;;
1498;259616.97871876598;6253705.821252112;restaurant;L'Eden;;;french;;;75056;Paris;restaurant;;;;
1500;254826.88989798233;6246885.499724469;restaurant;La Zeralda;;;couscous;;;75056;Paris;restaurant;;;;
1501;254812.56307951725;6246907.299193636;restaurant;La Grande Muraille de Pékin;;;chinese;;;75056;Paris;restaurant;;;;
1502;254778.69969041794;6246975.184013192;fast_food;Pizza Eva;;;pizza;;;75056;Paris;restaurant;;;;
1510;261417.09280853684;6251149.03120599;restaurant;Hippopotamus Châtelet;;yes;steak_house;;;75056;Paris;restaurant;;;;
1511;262061.71058387338;6251322.907184522;fast_food;Mugiz;;no;sandwich;;;75056;Paris;restaurant;;;;
1514;261361.58891042726;6250995.039901005;restaurant;Mimmo;;;pizza;;;75056;Paris;restaurant;;;;
1515;261342.7759164832;6251026.3929196065;fast_food;Pasta Nova;;no;pasta;;;75056;Paris;restaurant;;;;
1518;261980.15792491823;6251005.395013577;restaurant;5 baht;;no;thai;+33142727191;;75056;Paris;restaurant;;;;
1519;261396.10908452226;6251104.581390113;fast_food;Thym-Thym;;no;sandwich;;;75056;Paris;restaurant;;;;
1523;261602.25051757324;6251726.933886619;restaurant;Ar Poul Gwen;Su-Th,PH 11:00-00:30, Fr,Sa 11:00-02:00;yes;crepe;;www.arpoulgwen.com;75056;Paris;restaurant;;;;
1525;261324.24122126616;6251172.584457661;restaurant;Bann Thaï;;;thai;;;75056;Paris;restaurant;;;;
1532;261591.2298879847;6251777.2080219295;restaurant;New Shangaï;;no;asian;;;75056;Paris;restaurant;;;;
1537;258708.8120489763;6247009.515606377;restaurant;Delibay;;;indian;;;75056;Paris;restaurant;;;;
1538;258604.01588034348;6247153.35465575;restaurant;Vin et Marée;;;seafood;;;75056;Paris;restaurant;;;;
1541;266286.9865722701;6247143.951346404;restaurant;Sadika;;;indian;;;75056;Paris;restaurant;;;;
1545;264852.0672039958;6248642.777800379;restaurant;Sapori;;;italian;;;75056;Paris;restaurant;;;;
1546;266742.7063036796;6247566.14654385;restaurant;Ting Ting;;;asian;;;75056;Paris;restaurant;;;;
1549;260050.44568396593;6247769.970695942;restaurant;La Closerie des Lilas;Mo-Su 12:00-14:30,19:00-23:30;;fish;+33 1 40 51 34 50;https://www.closeriedeslilas.fr/;75056;Paris;restaurant;;;;
1552;264627.95880513074;6251390.641270785;restaurant;L'Étoile de Mer;;;vietnamese;;;75056;Paris;restaurant;;;;
1554;262209.75437467935;6244745.67028018;restaurant;Chez Mémé;;;french;;;75056;Paris;restaurant;;;;
1556;254673.8255981416;6254201.872156807;fast_food;Brooklyn Café;07:00-23:00;;burger;+33 1 45 74 27 27;;75056;Paris;restaurant;;;;
1564;262080.10056375244;6249376.532401212;restaurant;Chez René;Tu-Sa 12:00-14:30,19:00-23:00;;french;+33 1 43 54 30 23;;75056;Paris;restaurant;;;;
1567;256894.17076565698;6252725.890034685;restaurant;Le Bistro 25;;;french;;;75056;Paris;restaurant;;;;
1568;264841.9148664354;6246239.489713196;restaurant;La maison des Frigos;;;japanese;;www.les-frigos.com;75056;Paris;restaurant;;;;
1569;255100.70244948656;6247080.242509254;restaurant;Afaria;"Tu,Fr 12:00-14:00,19:00-22:30; We,Sa 12:00-14:00,19:00-23:00; Th 12:00-14:15,19:00-22:30";;french;+33 1 48 42 95 90;www.restaurant-afaria.fr;75056;Paris;restaurant;;;;
1570;255204.15165228077;6246987.123950517;restaurant;Au petit Parisien Restaurant Bar;;;french;;;75056;Paris;restaurant;;;;
1571;255142.66989751562;6247080.141035515;restaurant;Chiang Rai Mai;Mo-Sa 12:00-14:30,19:00-22:30;;thai;;;75056;Paris;restaurant;;;;
1574;258688.79680453165;6247730.342066253;restaurant;Manten;;;japanese;;;75056;Paris;restaurant;;;;
1576;258652.0279767227;6247842.902743063;restaurant;Le Plomb du Cantal;Mo off;yes;french;+33 1 42 79 89 79;http://www.leplombducantal.com;75056;Paris;restaurant;;;;
1578;267199.9065843167;6251867.468696046;restaurant;Jardin de Chiang Mai;;;thai;;;75056;Paris;restaurant;;;;
1587;264295.0133401171;6254805.459417205;fast_food;Chez Tata;;;sandwich;;;75056;Paris;restaurant;;;;
1590;262966.637856481;6253377.946321405;restaurant;Piccoli Cugini;Mo-Su 12:00-15:00, 19:00-22:30;;italian;+33 9 50 57 79 25;http://www.piccoli-cugini.fr/;75056;Paris;restaurant;;;;
1591;262880.43204281066;6253393.060243857;fast_food;Star Fast Food;;;"pizza;panini;indian";;;75056;Paris;restaurant;;;;
1593;256289.79498624214;6245753.44192939;restaurant;Klayaa;;no;lebanese;+33148280102;;75056;Paris;restaurant;;;;
1600;258475.99846593122;6248351.144237328;restaurant;Tandoori;;;indian;;;75056;Paris;restaurant;;;;
1611;257776.7784803606;6247829.7776344465;restaurant;Le Pietro;;;pizza;;;75056;Paris;restaurant;;;;
1613;257812.768071734;6247849.499132648;restaurant;La Forge;;;regional;;;75056;Paris;restaurant;;;;
1615;258377.2914734449;6248230.593118585;restaurant;Cantal 15;;;french;;;75056;Paris;restaurant;;;;
1616;257795.7473215917;6247841.431241469;restaurant;Chez Pietro;;;pizza;;;75056;Paris;restaurant;;;;
1619;257765.29030891068;6247825.396964833;restaurant;Siam House;;;thai;;;75056;Paris;restaurant;;;;
1620;257756.94134710118;6247900.325332333;restaurant;Crêperie le Ty Breizh;;limited;french;+33 1 43208372;Tybreizhcreperieparis.fr;75056;Paris;restaurant;;;;
1625;254532.07135856547;6253692.822458549;restaurant;La Gazette;;;french;;;75056;Paris;restaurant;;;;
1626;254501.02435258322;6253795.543937847;restaurant;Okagawa;;;japanese;;;75056;Paris;restaurant;;;;
1629;258361.88485591902;6247277.966402546;restaurant;La Cagouille;;;seafood;;http://www.la-cagouille.com;75056;Paris;restaurant;;;;
1630;264645.2912498472;6246133.629942457;fast_food;Prêt À Manger;"Mo-Fr 07:30-22:00; Sa 08:00-21:00; Su 09:00-21:00";yes;sandwich;;;75056;Paris;restaurant;;;;
1637;258684.14364981654;6247640.294601608;restaurant;Bassanti;;;indian;;;75056;Paris;restaurant;;;;
1639;254161.88952388152;6248883.081522687;restaurant;Le palais de Shah Jahan;;;indian;;;75056;Paris;restaurant;;;;
1640;254188.11639591245;6248861.649117404;restaurant;Sawadee;;;thai;;;75056;Paris;restaurant;;;;
1644;261502.96466373472;6251051.959336379;restaurant;Cœur de Breizh;;yes;crepe;;;75056;Paris;restaurant;;;;
1646;263326.58942996105;6245036.976864588;restaurant;Tang Gourmet Paris;"Tu-Fr 09:00-20:00; Sa 08:00-20:00; Su 08:00-13:00";yes;chinese;;;75056;Paris;restaurant;;;;
1647;257863.1735371652;6244905.888507748;restaurant;Hypnose;;;pizza;;;75056;Paris;restaurant;;;;
1648;256659.91002923163;6245631.287555261;fast_food;Restaurant Élite;;;turkish;;;75056;Paris;restaurant;;;;
1649;256723.3064792384;6245608.493716947;restaurant;Top Sushi;;no;japanese;;http://www.mandarin-vanves.fr;75056;Paris;restaurant;;;;
1650;256750.10108067235;6245600.343412788;fast_food;Royal Food;;no;burger;;;75056;Paris;restaurant;;;;
1652;267533.47543847875;6250800.054818296;restaurant;Kool Too;;;burger;;;75056;Paris;restaurant;;;;
1657;257588.05854761868;6254868.820124569;restaurant;Restaurant Brigitte;Mo-Su 12:00-14:30, 20:00-22:30;;french;+33 1 47 63 25 61;https://www.restaurantbrigitte.fr/;75056;Paris;restaurant;;;;
1662;260826.47611818401;6253171.634668862;restaurant;La Delice Sushi;Mo-Su 11:00-23:00;;sushi;;;75056;Paris;restaurant;;;;
1665;255089.7597435416;6249369.072062502;restaurant;Okayama;;;japanese;+33 1 45788001;;75056;Paris;restaurant;;;;
1666;255083.9488661222;6249358.482114525;restaurant;Chez Thomas;;;italian;+33 1 40598238;;75056;Paris;restaurant;;;;
1667;260849.22982210215;6253333.721751443;restaurant;Casa Rina;;;pizza;;;75056;Paris;restaurant;;;;
1668;260848.88473168065;6253119.795213646;fast_food;Crêpes de Paris;;;crepe;+33148248950;;75056;Paris;restaurant;;;;
1674;256359.01344561743;6246380.812877513;restaurant;Aux Sportifs Réunis;;;french;;;75056;Paris;restaurant;;;;
1680;261763.17397346397;6251386.918673906;restaurant;Le Cirque;;yes;pizza;;;75056;Paris;restaurant;;;;
1681;258566.1449895757;6255226.614733329;restaurant;Sakura Teppanyaki;;;japanese;+33 1 45 22 02 56;;75056;Paris;restaurant;;;;
1682;258596.29030768247;6255216.254457338;restaurant;Japikeo;;;"japanese;sushi";+33 1 42 93 42 74;https://www.facebook.com/pages/Japikeo/149449241759769;75056;Paris;restaurant;;;;
1683;259786.8188658693;6255563.6353319725;restaurant;Le Relais Gascon;;;regional;;https://www.lerelaisgascon.fr/;75056;Paris;restaurant;;;;
1685;267078.61286714836;6249711.374731688;restaurant;Pho 11;;;asian;+33 1 43 73 15 08;;75056;Paris;restaurant;;;;
1687;263616.7770785609;6253114.176329954;restaurant;Le Petit Cambodge;Mo-Su 12:00-23:00;;asian;+33 1 42 45 80 88;http://www.LePetitCambodge.fr;75056;Paris;restaurant;;;;
1688;263736.75722573797;6248572.139342907;restaurant;WoknNoodles;;;asian;;;75056;Paris;restaurant;;;;
1689;266580.93681965885;6248963.5000446355;restaurant;Chibby's Diner;"Tu-Fr 9:30-15:30,18:30-23:00; Sa-Su 10:30-23:00";;american;;;75056;Paris;restaurant;;;;
1692;265993.3591514047;6248556.746462183;restaurant;Fukuyama;;;japanese;;;75056;Paris;restaurant;;;;
1693;265929.10554131883;6248690.293320216;fast_food;Burger Shop;;;"sandwich;kebab;burger";;;75056;Paris;restaurant;;;;
1694;265743.3467070321;6248947.260651816;fast_food;Au Plaisir du Pain;Mo-Sa 06:30-18:30;;sandwich;;;75056;Paris;restaurant;;;;
1696;261383.08470409946;6251197.169925988;restaurant;Pasta Nina;;;pasta;;;75056;Paris;restaurant;;;;
1698;257702.33913686706;6245647.131676324;restaurant;Ti Case Créole;;;creole;;;75056;Paris;restaurant;;;;
1700;258587.5071998589;6255339.952240868;restaurant;Sole di Sardegna;;;italian;+33 1 43 87 77 10;;75056;Paris;restaurant;;;;
1705;264252.27778760163;6247963.482173058;restaurant;Café Cotta;;;italian;;http://www.cafecotta.com/;75056;Paris;restaurant;;;;
1706;256460.75946020248;6253715.65498811;restaurant;Da Fabio;;;italian;;https://fr-fr.facebook.com/dafabiotraiteur;75056;Paris;restaurant;;;;
1707;252066.845575203;6247854.607109648;restaurant;Saveurs de Tokyo;;;japanese;;;75056;Paris;restaurant;;;;
1710;261505.8701024444;6252862.328929412;restaurant;L'Afrodisiac;;;african;;;75056;Paris;restaurant;;;;
1712;255993.30665446335;6248891.4887240995;restaurant;Le Comptoir Moderne;;;french;;;75056;Paris;restaurant;;;;
1716;260879.68683478315;6253348.700196465;restaurant;Le Bonheur;;;asian;;;75056;Paris;restaurant;;;;
1721;257852.43120630362;6255420.7029664675;restaurant;Le Jardin du Kashmir;;;indian;;;75056;Paris;restaurant;;;;
1722;261676.81231250655;6245024.701511274;restaurant;Chez Yong 鼎鼎香;Tu-Su 12:00-14:30,19:00-22:00;;chinese;+33 1 45 65 17 88;;75056;Paris;restaurant;;;;
1723;259828.6527305094;6247806.318244831;restaurant;Chào Sapa;;;vietnamese;+33 1 43 21 03 48;;75056;Paris;restaurant;;;;
1724;261686.59729574734;6244496.489275678;restaurant;Allo Pizza Express;;;pizza;;;75056;Paris;restaurant;;;;
1725;258945.61086979174;6246772.47824008;restaurant;Le Cornichon;Mo-Fr  12:00-14:30, 19:00-22:30;;french;;https://www.lecornichon.fr/;75056;Paris;restaurant;;;;
1726;261595.43776473662;6244463.030123532;fast_food;Le Charletty;;;sandwich;;;75056;Paris;restaurant;;;;
1731;263782.91028662084;6249704.946067391;restaurant;Les Associés;;no;italian;;;75056;Paris;restaurant;;;;
1732;263883.687821636;6250075.143574715;restaurant;Le Bastille;Mo-Su 07:30-04:30;limited;french;+33 1 43 07 79 95;;75056;Paris;restaurant;;;;
1737;266412.13194381987;6249397.424767941;restaurant;Vin & Marée;;;fish;+33 1 43 72 31 23;;75056;Paris;restaurant;;;;
1739;266485.19092562754;6249424.508795342;fast_food;Restaurant Kusadasi;;;kebab;;;75056;Paris;restaurant;;;;
1746;263306.3070187385;6245001.875488327;fast_food;Thieng Heng;Mo-Su 08:30-19:00;;sandwich;;;75056;Paris;restaurant;;;;
1747;263076.18736737064;6244744.351485054;restaurant;Impérial Choisy;12:00-23:00;;"chinese;cantonese";+33 1 45 86 42 40;;75056;Paris;restaurant;;;;
1748;263064.72145981895;6244764.674478927;restaurant;Fung Shun;;;chinese;;http://www.fungshun.fr;75056;Paris;restaurant;;;;
1749;263021.7744002709;6244761.614191372;restaurant;Apsara Celeste;;;chinese;;;75056;Paris;restaurant;;;;
1750;263026.50547862955;6244752.754580605;restaurant;Li Ka Fo;;;chinese;;;75056;Paris;restaurant;;;;
1751;263060.3688677289;6244776.256240164;restaurant;L'Hommage;Mo-Sa;;french;;http://www.lhommageparis.com;75056;Paris;restaurant;;;;
1752;263016.00805064786;6244775.1403325545;restaurant;Hauky;;;chinese;;;75056;Paris;restaurant;;;;
1754;263006.84645655553;6244894.120582132;restaurant;Thai Vien;We-Su 12:00-23:00;;"thai;lao;vietnamese";+33 1 53 61 18 58;;75056;Paris;restaurant;;;;
1755;262921.4310112698;6244958.032788587;restaurant;Pho Bom;Mo-Su 11:00-23:00;;vietnamese;+33 1 58 89 28 88;https://phobom.fr/;75056;Paris;restaurant;;;;
1758;262468.1603086578;6244872.681357349;restaurant;Quan Nhà;;;vietnamese;;;75056;Paris;restaurant;;;;
1759;262374.57401274785;6244868.775636906;restaurant;Le Zen;;;vietnamese;;;75056;Paris;restaurant;;;;
1763;260770.79410888918;6244563.729214381;restaurant;Le Monza;;;pizza;;;75056;Paris;restaurant;;;;
1764;260681.8275718472;6244570.593568035;fast_food;Au P'tit Liard;Mo-Sa 10:30-16:00;;sandwich;;;75056;Paris;restaurant;;;;
1766;262650.61295406794;6244409.959005615;restaurant;Restaurant Gap;;;turkish;;;75056;Paris;restaurant;;;;
1767;262673.210810699;6244292.439532014;restaurant;Chez Petit Jean;;;chinese;;;75056;Paris;restaurant;;;;
